,0
0,created_at
1,id
2,id_str
3,full_text
4,truncated
5,display_text_range
6,source
7,in_reply_to_status_id
8,in_reply_to_status_id_str
9,in_reply_to_user_id
10,in_reply_to_user_id_str
11,in_reply_to_screen_name
12,geo
13,coordinates
14,place
15,contributors
16,is_quote_status
17,retweet_count
18,favorite_count
19,favorited
20,retweeted
21,lang
22,entities.hashtags
23,entities.symbols
24,entities.user_mentions
25,entities.urls
26,user.id
27,user.id_str
28,user.name
29,user.screen_name
30,user.location
31,user.description
32,user.url
33,user.protected
34,user.followers_count
35,user.friends_count
36,user.listed_count
37,user.created_at
38,user.favourites_count
39,user.utc_offset
40,user.time_zone
41,user.geo_enabled
42,user.verified
43,user.statuses_count
44,user.lang
45,user.contributors_enabled
46,user.is_translator
47,user.is_translation_enabled
48,user.profile_background_color
49,user.profile_background_image_url
50,user.profile_background_image_url_https
51,user.profile_background_tile
52,user.profile_image_url
53,user.profile_image_url_https
54,user.profile_banner_url
55,user.profile_link_color
56,user.profile_sidebar_border_color
57,user.profile_sidebar_fill_color
58,user.profile_text_color
59,user.profile_use_background_image
60,user.has_extended_profile
61,user.default_profile
62,user.default_profile_image
63,user.following
64,user.follow_request_sent
65,user.notifications
66,user.translator_type
67,user.withheld_in_countries
