termos,eliminar (1)
___leomartins,1
10,1
12,1
19,1
19,1
2016,1
2017,1
2018,1
2021,1
21h30,1
50,1
abertas,0
abertura,0
abril,0
absurdo,0
acaba,0
acabar,0
acabou,0
Acesse,0
acesso,0
acha,0
acha,0
acontece,0
acontece,0
aconteceu,0
acordo,0
afirma,0
agenda,0
agendaSP,0
agmural,0
agmural,0
agmural,0
agora,0
agora,0
agora,0
agora,0
aí,1
aí,1
ainda,1
ainda,1
ainda,1
ainda,1
ainda,1
algum,0
amigo,0
amp,1
ano,0
anos,0
anos,0
anos,0
anos,0
anos,0
anos,0
anos,0
anos,0
antes,0
apenas,0
apresenta,0
aqui,0
aqui,0
aqui,0
aqui,0
aqui,0
arthurmoledoval,1
assim,0
Assista,0
assunto,0
atuar,0
aumento,0
bairro,0
Banca,1
bem,0
Boa,0
Bolsonaro,0
Bolsonaro,0
Bolsonaro,0
Bolsonaro,0
Bolsonaro,0
Bolsonaro,0
Bolsonaro,0
Bolsonaro,0
Bolsonaro,0
Bolsonaro,0
Bom,0
bom,0
Brasil,0
Brasil,0
Brasil,0
Brasil,0
Brasil,0
Câmara,0
canal,0
Carlos,0
CCSP,0
CCSP,0
Centro,0
chegando,0
cidade,0
Ciro,0
CLEANE,1
co,1
co,1
co,1
co,1
co,1
co,1
co,1
co,1
co,1
co,1
Com,1
comprar,0
Confira,0
Confira,0
Confira,0
contra,0
contra,0
contra,0
contra,0
contra,0
contra,0
contra,0
contra,0
contra,0
conversa,0
COP26,0
Covid,0
Covid,0
CPIdaCovid,0
CPIdaCovid,0
CPIdaCovid,0
Criolo,1
Criolo,1
criolomc,1
criolomc,1
criolomc,1
criolomc,1
CrioloXR,1
CulturaEmCasa,0
dá,0
dia,0
dia,0
dia,0
dia,0
dia,0
dia,0
dia,0
dia,0
dia,0
dia,0
dia,0
dia,0
disse,0
diz,0
diz,0
DJ,1
Doria,0
Em,1
Em,1
Em,1
episódio,0
Esse,0
falar,0
família,0
fazer,0
fazer,0
fazer,0
Federal,0
Fellini,0
fio,0
Flávio,0
Flávio,0
flaviovmcosta,0
Fora,0
ForaBolsonaro,0
ForaBolsonaro,0
Foto,0
gente,1
gente,1
gente,1
gente,1
gente,1
gente,1
gente,1
golpe,0
Gostei,0
governo,0
governo,0
governo,0
Grande,0
grátis,0
GuiaDeEmpregoDasPeriferias,0
GuilhermeBoulos,0
hoje,0
Hoje,0
hoje,0
Hoje,0
hoje,0
hoje,0
hoje,0
hoje,0
Hoje,0
hoje,0
Hoje,0
hoje,0
hoje,0
hoje,0
hora,0
hora,0
https,1
https,1
https,1
https,1
https,1
https,1
https,1
https,1
https,1
https,1
https,1
Instagram,0
ir,0
Jair,0
Jair,0
jairbolsonaro,0
jairbolsonaro,0
jrguzzofatos,1
justiça,0
lá,0
leste,0
lolaferreira,0
Lula,0
Lula,0
Lula,0
Lula,0
maior,0
mal,0
mano,0
Mas,1
Mas,1
MC,0
Meu,0
mil,0
mil,0
mil,0
mil,0
milhões,0
milhões,0
milhões,0
milhões,0
mim,0
mudar,0
mundo,0
mundo,0
música,0
Não,1
Não,1
Não,1
Não,1
Não,1
Não,1
Não,1
Não,1
né,1
nesta,1
No,1
No,1
No,1
No,1
No,1
No,1
noite,0
Obrigado,1
Organização,0
Os,1
Os,1
país,0
país,0
país,0
pandemia,0
pandemia,0
pandemia,0
pandemia,0
pandemia,0
pandemia,0
pandemia,0
papo,0
Paulo,0
Paulo,0
Paulo,0
Paulo,0
Paulo,0
Paulo,0
PEC,0
periferias,0
periferias,0
pessoas,0
pessoas,0
pessoas,0
pessoas,0
pessoas,0
pode,1
pode,1
Por,1
Por,1
Por,1
povo,0
povo,0
povo,0
povo,0
pq,1
pra,1
pra,1
pra,1
pra,1
pra,1
pra,1
pra,1
pra,1
presidente,0
presidente,0
pro,1
programação,0
próprio,0
Que,1
quebrada,0
quer,0
Racionais,0
real,0
região,0
reportagem,0
RT,1
RT,1
RT,1
RT,1
RT,1
RT,1
RT,1
RT,1
RT,1
RT,1
sábado,0
Saiba,0
SanatórioGeral,1
São,0
São,0
São,0
São,0
São,0
São,0
São,0
Se,1
Se,1
Se,1
Se,1
Se,1
Se,1
Se,1
Segue,0
semana,0
ser,1
ser,1
ser,1
ser,1
ser,1
ser,1
ser,1
ser,1
ser,1
show,0
sistema,0
SistemaObtuso,0
site,0
Só,1
sobre,0
sobre,0
sobre,0
sobre,0
sobre,0
sobre,0
sobre,0
sobre,0
sobre,0
sobre,0
sobre,0
SP,0
SP,0
SP,0
SP,0
SP,0
SP,0
SP,0
STF,0
STF,0
STF,0
sul,0
tá,1
tá,1
Tá,1
tá,1
tá,1
tempo,0
ter,1
ter,1
ter,1
ter,1
ter,1
the,1
todo,0
todo,0
todos,0
todos,0
todos,0
todos,0
três,0
tudo,1
tudo,1
TV,0
Uma,0
único,0
Unsplash,0
UOL,0
UOL,0
vacina,0
vai,0
vai,0
vai,0
vai,0
vai,0
vai,0
vai,0
Vai,0
vai,0
Vai,0
vai,0
ver,0
ver,0
ver,0
vezes,0
via,0
vídeo,0
Você,0
votar,0
YouTube,0
zona,0
